(array([ 0.16684902,  0.83315098]), 1)
(array([ 0.68530299,  0.31469701]), 0)
(array([ 0.09536152,  0.90463848]), 1)
(array([ 0.27578453,  0.72421547]), 1)
(array([ 0.61899576,  0.38100424]), 0)
(array([ 0.27578453,  0.72421547]), 1)
(array([ 0.41252128,  0.58747872]), 1)
(array([ 0.58560723,  0.41439277]), 0)
(array([ 0.12091323,  0.87908677]), 1)
(array([ 0.02473172,  0.97526828]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.44667868,  0.55332132]), 1)
(array([ 0.09400456,  0.90599544]), 1)
(array([ 0.49903536,  0.50096464]), 1)
(array([ 0.66719569,  0.33280431]), 0)
(array([ 0.80952064,  0.19047936]), 0)
(array([ 0.34377529,  0.65622471]), 1)
(array([ 0.50553293,  0.49446707]), 0)
(array([ 0.61899576,  0.38100424]), 0)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.60552906,  0.39447094]), 0)
(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.41252128,  0.58747872]), 1)
(array([ 0.59816318,  0.40183682]), 0)
(array([ 0.27578453,  0.72421547]), 1)
(array([ 0.67863615,  0.32136385]), 0)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.34377529,  0.65622471]), 1)
(array([ 0.05101582,  0.94898418]), 1)
(array([ 0.749736,  0.250264]), 0)
(array([ 0.27062374,  0.72937626]), 1)
(array([ 0.5919002,  0.4080998]), 0)
(array([ 0.50553293,  0.49446707]), 0)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.22124395,  0.77875605]), 1)
(array([ 0.12091323,  0.87908677]), 1)
(array([ 0.4263347,  0.5736653]), 1)
(array([ 0.41252128,  0.58747872]), 1)
(array([ 0.11817765,  0.88182235]), 1)
(array([ 0.41252128,  0.58747872]), 1)
(array([ 0.61899576,  0.38100424]), 0)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.22124395,  0.77875605]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.49903536,  0.50096464]), 1)
(array([ 0.50553293,  0.49446707]), 0)
(array([ 0.41252128,  0.58747872]), 1)
(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.09994123,  0.90005877]), 1)
(array([ 0.12091323,  0.87908677]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.27578453,  0.72421547]), 1)
(array([ 0.06916714,  0.93083286]), 1)
(array([ 0.5919002,  0.4080998]), 0)
(array([ 0.41252128,  0.58747872]), 1)
(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.50553293,  0.49446707]), 0)
(array([ 0.21162422,  0.78837578]), 1)
(array([ 0.76022904,  0.23977096]), 0)
(array([ 0.21162422,  0.78837578]), 1)
(array([ 0.11817765,  0.88182235]), 1)
(array([ 0.26459911,  0.73540089]), 1)
(array([ 0.61899576,  0.38100424]), 0)
(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.22575453,  0.77424547]), 1)
(array([ 0.21679825,  0.78320175]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.15566441,  0.84433559]), 1)
(array([ 0.21679825,  0.78320175]), 1)
(array([ 0.28953244,  0.71046756]), 1)
(array([ 0.41252128,  0.58747872]), 1)
(array([ 0.22575453,  0.77424547]), 1)
(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.68427803,  0.31572197]), 0)
(array([ 0.12091323,  0.87908677]), 1)
(array([ 0.41252128,  0.58747872]), 1)
(array([ 0.12209616,  0.87790384]), 1)
(array([ 0.44667868,  0.55332132]), 1)
(array([ 0.44026403,  0.55973597]), 1)
(array([ 0.27578453,  0.72421547]), 1)
(array([ 0.44026403,  0.55973597]), 1)
(array([ 0.28953244,  0.71046756]), 1)
(array([ 0.27578453,  0.72421547]), 1)
(array([ 0.68530299,  0.31469701]), 0)
(array([ 0.04977209,  0.95022791]), 1)
(array([ 0.68530299,  0.31469701]), 0)
(array([ 0.11817765,  0.88182235]), 1)
(array([ 0.01877075,  0.98122925]), 1)
(array([ 0.12955321,  0.87044679]), 1)
(array([ 0.09274247,  0.90725753]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.12091323,  0.87908677]), 1)
(array([ 0.12091323,  0.87908677]), 1)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.27578453,  0.72421547]), 1)
(array([ 0.61899576,  0.38100424]), 0)
(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.75458106,  0.24541894]), 0)
(array([ 0.34377529,  0.65622471]), 1)
(array([ 0.44299684,  0.55700316]), 1)
(array([ 0.12091323,  0.87908677]), 1)
(array([ 0.68530299,  0.31469701]), 0)
(array([ 0.03707191,  0.96292809]), 1)
(array([ 0.04977209,  0.95022791]), 1)
(array([ 0.61172009,  0.38827991]), 0)
(array([ 0.15566441,  0.84433559]), 1)
(array([ 0.11817765,  0.88182235]), 1)
(array([ 0.76022904,  0.23977096]), 0)
(array([ 0.76022904,  0.23977096]), 0)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.80952064,  0.19047936]), 0)
(array([ 0.8134962,  0.1865038]), 0)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.68530299,  0.31469701]), 0)
(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.11817765,  0.88182235]), 1)
(array([ 0.21679825,  0.78320175]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.69088114,  0.30911886]), 0)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.09181419,  0.90818581]), 1)
(array([ 0.22124395,  0.77875605]), 1)
(array([ 0.09181419,  0.90818581]), 1)
(array([ 0.02642118,  0.97357882]), 1)
(array([ 0.4263347,  0.5736653]), 1)
(array([ 0.5919002,  0.4080998]), 0)
(array([ 0.61172009,  0.38827991]), 0)
(array([ 0.11817765,  0.88182235]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.17433343,  0.82566657]), 1)
(array([ 0.76022904,  0.23977096]), 0)
(array([ 0.11817765,  0.88182235]), 1)
(array([ 0.11817765,  0.88182235]), 1)
(array([ 0.8134962,  0.1865038]), 0)
(array([ 0.49903536,  0.50096464]), 1)
(array([ 0.06721405,  0.93278595]), 1)
(array([ 0.50553293,  0.49446707]), 0)
(array([ 0.7622433,  0.2377567]), 0)
(array([ 0.28196619,  0.71803381]), 1)
(array([ 0.62160594,  0.37839406]), 0)
(array([ 0.29260885,  0.70739115]), 1)
(array([ 0.11817765,  0.88182235]), 1)
(array([ 0.69324291,  0.30675709]), 0)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.52247129,  0.47752871]), 0)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.52737337,  0.47262663]), 0)
(array([ 0.67863615,  0.32136385]), 0)
(array([ 0.80952064,  0.19047936]), 0)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.16478681,  0.83521319]), 1)
(array([ 0.21162422,  0.78837578]), 1)
(array([ 0.58560723,  0.41439277]), 0)
(array([ 0.12091323,  0.87908677]), 1)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.749736,  0.250264]), 0)
(array([ 0.03560753,  0.96439247]), 1)
(array([ 0.06652255,  0.93347745]), 1)
(array([ 0.12091323,  0.87908677]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.69088114,  0.30911886]), 0)
(array([ 0.749736,  0.250264]), 0)
(array([ 0.09181419,  0.90818581]), 1)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.16684902,  0.83315098]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.61172009,  0.38827991]), 0)
(array([ 0.34377529,  0.65622471]), 1)
(array([ 0.1597475,  0.8402525]), 1)
(array([ 0.51321498,  0.48678502]), 0)
(array([ 0.33793588,  0.66206412]), 1)
(array([ 0.51321498,  0.48678502]), 0)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.60552906,  0.39447094]), 0)
(array([ 0.749736,  0.250264]), 0)
(array([ 0.15566441,  0.84433559]), 1)
(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.21679825,  0.78320175]), 1)
(array([ 0.5919002,  0.4080998]), 0)
(array([ 0.51321498,  0.48678502]), 0)
(array([ 0.04977209,  0.95022791]), 1)
(array([ 0.86087581,  0.13912419]), 0)
